,HMC,BBY,BLNK,ANTM,KO,CTVA,CVS,LEVI,SAM,EPC,ETSY,EXC,F,FOSL,FMS,GME,CL,HP,SJM,EPC,VFC,SIG,LULU,MSFT,TAP,OC,PEP,PFE,RL,RDFN,SAP,BNS,SIX,SBUX,TGT,TD,CLX,CZR,HSY,VFC,UL,UPWK,VZ,VRTX,FB,WBA,WSFS,SPY
2019-06-03,,63.21,2.07,,49.95,,53.39,20.635,315.62,,61.07,48.52,9.61,10.25,36.84,7.46,70.66,,124.3,,,19.09,163.98,119.88,55.9,48.8,128.94,41.93,107.16,15.51,122.855,,,76.21,82.96,,,8.61,132.3,,61.52,,56.36,,164.01,49.91,,274.54
2019-06-04,25.48,63.94,2.32,279.81,50.0,27.48,54.63,21.48,305.77,29.9,61.2,48.71,9.92,11.51,37.69,7.8265,70.84,50.33,124.6,29.9,85.11,20.55,168.9,123.2,58.0,51.1,129.06,42.23,111.81,16.28,125.83,52.28,51.18,78.52,85.88,55.79,152.78,9.0,133.13,85.11,61.38,14.41,56.22,171.27,167.52,51.49,41.05,280.52
2019-06-05,25.63,63.24,2.29,276.96,50.8,27.97,53.18,21.35,309.9,29.54,61.49,49.72,9.77,11.18,37.45,5.0601,71.91,50.99,125.25,29.54,85.77,19.44,173.57,125.83,57.43,51.81,131.4,42.51,111.01,16.0,126.26,52.1,51.25,79.96,85.46,56.05,155.4,9.02,136.06,85.77,61.69,14.16,57.04,173.26,168.15,50.78,40.45,282.9
2019-06-06,25.45,62.31,2.32,277.5,51.41,26.89,54.14,20.82,319.97,30.16,61.97,50.24,9.75,10.7,37.51,5.11,73.11,51.2,122.43,30.16,84.45,19.16,170.44,127.9,57.72,53.06,132.0,42.76,109.47,16.08,126.49,52.37,51.68,81.41,85.73,56.395,158.96,9.13,137.24,84.45,62.08,14.34,57.545,167.82,168.32,50.99,40.35,284.74
2019-06-07,25.58,63.72,2.37,278.12,51.4753,26.31,53.92,20.975,320.36,30.73,63.89,49.96,9.755,11.1,37.61,5.01,73.99,51.87,124.51,30.73,84.7,19.72,172.421,131.4,56.98,52.6,133.45,42.92,110.89,16.86,129.61,52.98,51.84,82.47,86.85,56.7,156.61,9.45,138.01,84.7,62.53,14.38,57.21,173.51,173.34,51.97,39.86,287.63
2019-06-10,25.71,65.16,2.53,282.06,51.37,25.31,55.02,21.65,317.96,30.4,65.3,49.55,9.8102,10.9,37.88,5.45,73.02,50.66,122.62,30.4,85.68,19.1,171.35,132.6,54.74,53.56,133.58,43.05,113.65,18.1,129.42,53.28,52.67,81.92,87.54,56.84,156.77,9.79,136.67,85.68,62.27,15.05,56.14,172.82,174.83,52.31,40.59,288.9305
2019-06-11,25.97,65.52,2.64,283.45,51.31,24.95,53.96,20.91,333.5,30.43,67.19,49.21,9.92,10.97,38.3533,5.71,73.32,51.34,123.09,30.43,85.46,19.81,171.65,132.1,54.63,52.78,133.18,42.67,113.84,17.77,128.38,53.23,51.11,82.37,87.88,56.97,156.13,9.69,136.82,85.46,62.65,15.13,56.82,172.0,178.12,52.87,40.71,288.89
2019-06-12,25.64,64.45,2.78,281.13,51.65,25.12,53.67,20.54,338.19,30.29,69.18,50.45,9.86,10.6,37.27,5.5,73.05,49.44,123.86,30.29,84.77,18.69,170.9703,131.49,54.87,50.05,133.15,43.1,112.66,17.68,128.3,52.65,51.51,82.94,88.28,56.26,156.92,9.8,138.24,84.77,63.16,14.54,57.38,170.63,175.05,52.12,40.76,288.36
2019-06-13,25.74,65.85,2.79,285.3,51.13,24.985,54.59,21.2,341.84,30.99,70.05,50.18,10.06,10.69,37.44,5.7,72.755,50.23,123.55,30.99,86.84,19.12,174.58,132.32,55.11,51.02,132.94,42.51,112.61,18.04,128.78,52.73,50.87,83.36,88.31,56.38,155.93,9.82,137.67,86.84,62.68,15.6769,57.63,168.85,177.49,52.89,41.21,289.65
2019-06-14,25.33,66.04,2.63,285.34,51.32,25.1848,54.18,21.57,339.08,30.61,67.77,50.81,9.99,10.2,37.39,5.64,73.35,48.4,123.31,30.61,87.26,17.96,176.71,132.47,53.99,50.21,132.75,42.76,112.1,17.9,127.7,52.63,51.51,84.25,87.8,56.59,156.86,9.81,138.28,87.26,62.61,15.27,58.28,170.23,181.33,52.57,41.35,289.19
