Company,date,Revenue,EBITDA,Net_income,Sector
ANTM,2020-12-31,31824000000.0,0.0,551000000.0,Healthcare
ANTM,2020-09-30,31158000000.0,308000389.0,222000000.0,Healthcare
ANTM,2020-06-30,29264000000.0,0.0,551000000.0,Healthcare
ANTM,2020-03-31,29621000000.0,0.0,1523000000.0,Healthcare
ANTM,2019-12-31,27407000000.0,0.0,934000000.0,Healthcare
BBY,2021-01-30,16937000000.0,1386000000.0,816000000.0,Consumer_Cyclical
BBY,2020-10-31,11853000000.0,886000000.0,391000000.0,Consumer_Cyclical
BBY,2020-08-01,9910000000.0,775000000.0,816000000.0,Consumer_Cyclical
BBY,2020-05-02,8562000000.0,436000000.0,159000000.0,Consumer_Cyclical
BBY,2020-02-01,15196000000.0,1172000000.0,745000000.0,Consumer_Cyclical
BLNK,2020-09-30,905460.0,-3671951.0,-3914349.0,Consumer_Cyclical
BLNK,2020-06-30,1572610.0,-2972658.0,-3029513.0,Consumer_Cyclical
BLNK,2020-03-31,1298864.0,-2872477.0,-3914349.0,Consumer_Cyclical
BLNK,2019-12-31,701486.0,-2777963.0,-2894664.0,Consumer_Cyclical
BLNK,2019-09-30,764486.0,-2693536.0,-2622989.0,Consumer_Cyclical
BNS,2021-01-31,8015000000.0,0.0,2308000000.0,Financial_Services
BNS,2020-10-31,7456000000.0,0.0,1827000000.0,Financial_Services
BNS,2020-07-31,7692000000.0,0.0,2308000000.0,Financial_Services
BNS,2020-04-30,7896000000.0,0.0,1309000000.0,Financial_Services
BNS,2020-01-31,8050000000.0,0.0,2287000000.0,Financial_Services
CL,2020-12-31,4324000000.0,1098000000.0,647000000.0,Consumer_Defensive
CL,2020-09-30,4153000000.0,1152000000.0,698000000.0,Consumer_Defensive
CL,2020-06-30,3897000000.0,1079000000.0,647000000.0,Consumer_Defensive
CL,2020-03-31,4097000000.0,1085000000.0,715000000.0,Consumer_Defensive
CL,2019-12-31,4015000000.0,1127000000.0,643000000.0,Consumer_Defensive
CLX,2020-12-31,1842000000.0,394000000.0,259000000.0,Consumer_Defensive
CLX,2020-09-30,1916000000.0,522000000.0,415000000.0,Consumer_Defensive
CLX,2020-06-30,1983000000.0,428000000.0,259000000.0,Consumer_Defensive
